dex_number,name,german_name,region,type_1,type_2,available_in_pogo,extra_info
50,Diglett,Digda,kanto,ground,,yes,
51,Dugtrio,Digdri,kanto,ground,,yes,
52,Meowth,Mauzi,kanto,normal,,yes,
53,Persian,Snobilikat,kanto,normal,,yes,
54,Psyduck,Enton,kanto,water,,yes,
55,Golduck,Entoron,kanto,water,,yes,
56,Mankey,Menki,kanto,fighting,,yes,
57,Primeape,Rasaff,kanto,fighting,,yes,
58,Growlithe,Fukano,kanto,fire,,yes,
59,Arcanine,Arkani,kanto,fire,,yes,
60,Poliwag,Quapsel,kanto,water,,yes,
61,Poliwhirl,Quaputzi,kanto,water,,yes,
62,Poliwrath,Quappo,kanto,water,fighting,yes,
63,Abra,Abra,kanto,psychic,,yes,
64,Kadabra,Kadabra,kanto,psychic,,yes,
65,Alakazam,Simsala,kanto,psychic,,yes,
66,Machop,Machollo,kanto,fighting,,yes,
67,Machoke,Maschock,kanto,fighting,,yes,
68,Machamp,Machomei,kanto,fighting,,yes,
69,Bellsprout,Knofensa,kanto,grass,poison,yes,
70,Weepinbell,Ultrigaria,kanto,grass,poison,yes,
71,Victreebel,Sarzenia,kanto,grass,poison,yes,
72,Tentacool,Tentacha,kanto,water,poison,yes,
73,Tentacruel,Tentoxa,kanto,water,poison,yes,
74,Geodude,Kleinstein,kanto,rock,ground,yes,
75,Graveler,Georok,kanto,rock,ground,yes,
76,Golem,Geowaz,kanto,rock,ground,yes,
77,Ponyta,Ponita,kanto,fire,,yes,
78,Rapidash,Gallopa,kanto,fire,,yes,
79,Slowpoke,Flegmon,kanto,water,psychic,yes,
80,Slowbro,Lahmus,kanto,water,psychic,yes,
81,Magnemite,Magnetilo,kanto,electric,steel,yes,
82,Magneton,Magneton,kanto,electric,steel,yes,
83,Farfetch’d,Porenta,kanto,normal,flying,yes,
84,Doduo,Dodu,kanto,normal,flying,yes,
85,Dodrio,Dodri,kanto,normal,flying,yes,
86,Seel,Jurob,kanto,water,,yes,
87,Dewgong,Jugong,kanto,water,ice,yes,
88,Grimer,Sleima,kanto,poison,,yes,
89,Muk,Sleimok,kanto,poison,,yes,
90,Shellder,Muschas,kanto,water,,yes,
91,Cloyster,Austos,kanto,water,ice,yes,
92,Gastly,Nebulak,kanto,ghost,poison,yes,
93,Haunter,Alpollo,kanto,ghost,poison,yes,
94,Gengar,Gengar,kanto,ghost,poison,yes,
95,Onix,Onix,kanto,rock,ground,yes,
96,Drowzee,Traumato,kanto,psychic,,yes,
97,Hypno,Hypno,kanto,psychic,,yes,
98,Krabby,Krabby,kanto,water,,yes,
99,Kingler,Kingler,kanto,water,,yes,
100,Voltorb,Voltobal,kanto,electric,,yes,
101,Electrode,Lektrobal,kanto,electric,,yes,
102,Exeggcute,Owei,kanto,grass,psychic,yes,
103,Exeggutor,Kokowei,kanto,grass,psychic,yes,
104,Cubone,Tragosso,kanto,ground,,yes,
105,Marowak,Knogga,kanto,ground,,yes,
106,Hitmonlee,Kicklee,kanto,fighting,,yes,
107,Hitmonchan,Nockchan,kanto,fighting,,yes,
108,Lickitung,Schlurp,kanto,normal,,yes,
109,Koffing,Smogon,kanto,poison,,yes,
110,Weezing,Smogmog,kanto,poison,,yes,
111,Rhyhorn,Rihorn,kanto,ground,rock,yes,
112,Rhydon,Rizeros,kanto,ground,rock,yes,
113,Chansey,Chaneira,kanto,normal,,yes,
114,Tangela,Tangela,kanto,grass,,yes,
115,Kangaskhan,Kangama,kanto,normal,,yes,
116,Horsea,Seeper,kanto,water,,yes,
117,Seadra,Seemon,kanto,water,,yes,
118,Goldeen,Goldini,kanto,water,,yes,
119,Seaking,Golking,kanto,water,,yes,
120,Staryu,Sterndu,kanto,water,,yes,
121,Starmie,Starmie,kanto,water,psychic,yes,
122,Mr. Mime,Pantimos,kanto,psychic,fairy,yes,
123,Scyther,Sichlor,kanto,bug,flying,yes,
124,Jynx,Rossana,kanto,ice,psychic,yes,
125,Electabuzz,Elektek,kanto,electric,,yes,
126,Magmar,Magmar,kanto,fire,,yes,
127,Pinsir,Pinsir,kanto,bug,,yes,
128,Tauros,Tauros,kanto,normal,,yes,
129,Magikarp,Karpador,kanto,water,,yes,
130,Gyarados,Garados,kanto,water,flying,yes,
131,Lapras,Lapras,kanto,water,ice,yes,
132,Ditto,Ditto,kanto,normal,,yes,
133,Eevee,Evoli,kanto,normal,,yes,
134,Vaporeon,Aquana,kanto,water,,yes,
135,Jolteon,Blitza,kanto,electric,,yes,
136,Flareon,Flamara,kanto,fire,,yes,
137,Porygon,Porygon,kanto,normal,,yes,
138,Omanyte,Amonitas,kanto,rock,water,yes,
139,Omastar,Amoroso,kanto,rock,water,yes,
140,Kabuto,Kabuto,kanto,rock,water,yes,
141,Kabutops,Kabutops,kanto,rock,water,yes,
142,Aerodactyl,Aerodactyl,kanto,rock,flying,yes,
143,Snorlax,Relaxo,kanto,normal,,yes,
144,Articuno,Arktos,kanto,ice,flying,yes,
145,Zapdos,Zapdos,kanto,electric,flying,yes,
146,Moltres,Lavados,kanto,fire,flying,yes,
147,Dratini,Dratini,kanto,dragon,,yes,
148,Dragonair,Dragonir,kanto,dragon,,yes,
149,Dragonite,Dragoran,kanto,dragon,flying,yes,
150,Mewtwo,Mewtu,kanto,psychic,,yes,
151,Mew,Mew,kanto,psychic,,yes,
152,Chikorita,Endivie,johto,grass,,yes,
153,Bayleef,Lorblatt,johto,grass,,yes,
154,Meganium,Meganie,johto,grass,,yes,
155,Cyndaquil,Feurigel,johto,fire,,yes,
156,Quilava,Igelavar,johto,fire,,yes,
157,Typhlosion,Tornupto,johto,fire,,yes,
158,Totodile,Karnimani,johto,water,,yes,
159,Croconaw,Tyracroc,johto,water,,yes,
160,Feraligatr,Impergator,johto,water,,yes,
161,Sentret,Wiesor,johto,normal,,yes,
162,Furret,Wiesenior,johto,normal,,yes,
163,Hoothoot,Hoothoot,johto,normal,flying,yes,
164,Noctowl,Noctuh,johto,normal,flying,yes,
165,Ledyba,Ledyba,johto,bug,flying,yes,
166,Ledian,Ledian,johto,bug,flying,yes,
167,Spinarak,Webarak,johto,bug,poison,yes,
168,Ariados,Ariados,johto,bug,poison,yes,
169,Crobat,Iksbat,johto,poison,flying,yes,
170,Chinchou,Lampi,johto,water,electric,yes,
171,Lanturn,Lanturn,johto,water,electric,yes,
172,Pichu,Pichu,johto,electric,,yes,
173,Cleffa,Pii,johto,fairy,,yes,
174,Igglybuff,Fluffeluff,johto,normal,fairy,yes,
175,Togepi,Togepi,johto,fairy,,yes,
176,Togetic,Togetic,johto,fairy,flying,yes,
177,Natu,Natu,johto,psychic,flying,yes,
178,Xatu,Xatu,johto,psychic,flying,yes,
179,Mareep,Voltilamm,johto,electric,,yes,
180,Flaaffy,Waaty,johto,electric,,yes,
181,Ampharos,Ampharos,johto,electric,,yes,
182,Bellossom,Blubella,johto,grass,,yes,
183,Marill,Marill,johto,water,fairy,yes,
184,Azumarill,Azumarill,johto,water,fairy,yes,
185,Sudowoodo,Mogelbaum,johto,rock,,yes,
186,Politoed,Quaxo,johto,water,,yes,
187,Hoppip,Hoppspross,johto,grass,flying,yes,
188,Skiploom,Hubelupf,johto,grass,flying,yes,
189,Jumpluff,Papungha,johto,grass,flying,yes,
190,Aipom,Griffel,johto,normal,,yes,
191,Sunkern,Sonnkern,johto,grass,,yes,
192,Sunflora,Sonnflora,johto,grass,,yes,
193,Yanma,Yanma,johto,bug,flying,yes,
194,Wooper,Felino,johto,water,ground,yes,
195,Quagsire,Morlord,johto,water,ground,yes,
196,Espeon,Psiana,johto,psychic,,yes,
197,Umbreon,Nachtara,johto,dark,,yes,
198,Murkrow,Kramurx,johto,dark,flying,yes,
199,Slowking,Laschoking,johto,water,psychic,yes,
200,Misdreavus,Traunfugil,johto,ghost,,yes,
201,Unown,Icognito,johto,psychic,,yes,
202,Wobbuffet,Woingenau,johto,psychic,,yes,
203,Girafarig,Girafarig,johto,normal,psychic,yes,
204,Pineco,Tannza,johto,bug,,yes,
205,Forretress,Forstellka,johto,bug,steel,yes,
206,Dunsparce,Dummisel,johto,normal,,yes,
207,Gligar,Skorgla,johto,ground,flying,yes,
208,Steelix,Stahlos,johto,steel,ground,yes,
209,Snubbull,Snubbull,johto,fairy,,yes,
210,Granbull,Granbull,johto,fairy,,yes,
211,Qwilfish,Baldorfish,johto,water,poison,yes,
212,Scizor,Scherox,johto,bug,steel,yes,
213,Shuckle,Pottrott,johto,bug,rock,yes,
214,Heracross,Skaraborn,johto,bug,fighting,yes,
215,Sneasel,Sniebel,johto,dark,ice,yes,
216,Teddiursa,Teddiursa,johto,normal,,yes,
217,Ursaring,Ursaring,johto,normal,,yes,
218,Slugma,Schneckmag,johto,fire,,yes,
219,Magcargo,Magcargo,johto,fire,rock,yes,
220,Swinub,Quiekel,johto,ice,ground,yes,
221,Piloswine,Keifel,johto,ice,ground,yes,
222,Corsola,Corasonn,johto,water,rock,yes,
223,Remoraid,Remoraid,johto,water,,yes,
224,Octillery,Octillery,johto,water,,yes,
225,Delibird,Botogel,johto,ice,flying,yes,
226,Mantine,Mantax,johto,water,flying,yes,
227,Skarmory,Panzaeron,johto,steel,flying,yes,
228,Houndour,Hunduster,johto,dark,fire,yes,
229,Houndoom,Hundemon,johto,dark,fire,yes,
230,Kingdra,Seedraking,johto,water,dragon,yes,
231,Phanpy,Phanpy,johto,ground,,yes,
232,Donphan,Donphan,johto,ground,,yes,
233,Porygon2,Porygon2,johto,normal,,yes,
234,Stantler,Damhirplex,johto,normal,,yes,
235,Smeargle,Farbeagle,johto,normal,,yes,
236,Tyrogue,Rabauz,johto,fighting,,yes,
237,Hitmontop,Kapoera,johto,fighting,,yes,
238,Smoochum,Kussilla,johto,ice,psychic,yes,
239,Elekid,Elekid,johto,electric,,yes,
240,Magby,Magby,johto,fire,,yes,
241,Miltank,Miltank,johto,normal,,yes,
242,Blissey,Heiteira,johto,normal,,yes,
243,Raikou,Raikou,johto,electric,,yes,
244,Entei,Entei,johto,fire,,yes,
245,Suicune,Suicune,johto,water,,yes,
246,Larvitar,Larvitar,johto,rock,ground,yes,
247,Pupitar,Pupitar,johto,rock,ground,yes,
248,Tyranitar,Despotar,johto,rock,dark,yes,
249,Lugia,Lugia,johto,psychic,flying,yes,
250,Ho-Oh,Ho-Oh,johto,fire,flying,yes,
251,Celebi,Celebi,johto,psychic,grass,yes,
252,Treecko,Geckarbor,hoenn,grass,,yes,
253,Grovyle,Reptain,hoenn,grass,,yes,
254,Sceptile,Gewaldro,hoenn,grass,,yes,
255,Torchic,Flemmli,hoenn,fire,,yes,
256,Combusken,Jungglut,hoenn,fire,fighting,yes,
257,Blaziken,Lohgock,hoenn,fire,fighting,yes,
258,Mudkip,Hydropi,hoenn,water,,yes,
259,Marshtomp,Moorabbel,hoenn,water,ground,yes,
260,Swampert,Sumpex,hoenn,water,ground,yes,
261,Poochyena,Fiffyen,hoenn,dark,,yes,
262,Mightyena,Magnayen,hoenn,dark,,yes,
263,Zigzagoon,Zigzachs,hoenn,normal,,yes,
264,Linoone,Geradaks,hoenn,normal,,yes,
265,Wurmple,Waumpel,hoenn,bug,,yes,
266,Silcoon,Schaloko,hoenn,bug,,yes,
267,Beautifly,Papinella,hoenn,bug,flying,yes,
268,Cascoon,Panekon,hoenn,bug,,yes,
269,Dustox,Pudox,hoenn,bug,poison,yes,
270,Lotad,Loturzel,hoenn,water,grass,yes,
271,Lombre,Lombrero,hoenn,water,grass,yes,
272,Ludicolo,Kappalores,hoenn,water,grass,yes,
273,Seedot,Samurzel,hoenn,grass,,yes,
274,Nuzleaf,Blanas,hoenn,grass,dark,yes,
275,Shiftry,Tengulist,hoenn,grass,dark,yes,
276,Taillow,Schwalbini,hoenn,normal,flying,yes,
277,Swellow,Schwalboss,hoenn,normal,flying,yes,
278,Wingull,Wingull,hoenn,water,flying,yes,
279,Pelipper,Pelipper,hoenn,water,flying,yes,
280,Ralts,Trasla,hoenn,psychic,fairy,yes,
281,Kirlia,Kirlia,hoenn,psychic,fairy,yes,
282,Gardevoir,Guardevoir,hoenn,psychic,fairy,yes,
283,Surskit,Gehweiher,hoenn,bug,water,yes,
284,Masquerain,Maskeregen,hoenn,bug,flying,yes,
285,Shroomish,Knilz,hoenn,grass,,yes,
286,Breloom,Kapilz,hoenn,grass,fighting,yes,
287,Slakoth,Bummelz,hoenn,normal,,yes,
288,Vigoroth,Muntier,hoenn,normal,,yes,
289,Slaking,Letarking,hoenn,normal,,yes,
290,Nincada,Nincada,hoenn,bug,ground,yes,
291,Ninjask,Ninjask,hoenn,bug,flying,yes,
292,Shedinja,Ninjatom,hoenn,bug,ghost,yes,
293,Whismur,Flurmel,hoenn,normal,,yes,
294,Loudred,Krakeelo,hoenn,normal,,yes,
295,Exploud,Krawumms,hoenn,normal,,yes,
296,Makuhita,Makuhita,hoenn,fighting,,yes,
297,Hariyama,Hariyama,hoenn,fighting,,yes,
298,Azurill,Azurill,hoenn,normal,fairy,yes,
299,Nosepass,Nasgnet,hoenn,rock,,yes,
300,Skitty,Eneco,hoenn,normal,,yes,
301,Delcatty,Enekoro,hoenn,normal,,yes,
302,Sableye,Zobiris,hoenn,dark,ghost,yes,
303,Mawile,Flunkifer,hoenn,steel,fairy,yes,
304,Aron,Stollunior,hoenn,steel,rock,yes,
305,Lairon,Stollrak,hoenn,steel,rock,yes,
306,Aggron,Stolloss,hoenn,steel,rock,yes,
307,Meditite,Meditie,hoenn,fighting,psychic,yes,
308,Medicham,Meditalis,hoenn,fighting,psychic,yes,
309,Electrike,Frizelbliz,hoenn,electric,,yes,
310,Manectric,Voltenso,hoenn,electric,,yes,
311,Plusle,Plusle,hoenn,electric,,yes,
312,Minun,Minun,hoenn,electric,,yes,
313,Volbeat,Volbeat,hoenn,bug,,yes,
314,Illumise,Illumise,hoenn,bug,,yes,
315,Roselia,Roselia,hoenn,grass,poison,yes,
316,Gulpin,Schluppuck,hoenn,poison,,yes,
317,Swalot,Schlukwech,hoenn,poison,,yes,
318,Carvanha,Kanivanha,hoenn,water,dark,yes,
319,Sharpedo,Tohaido,hoenn,water,dark,yes,
320,Wailmer,Wailmer,hoenn,water,,yes,
321,Wailord,Wailord,hoenn,water,,yes,
322,Numel,Camaub,hoenn,fire,ground,yes,
323,Camerupt,Camerupt,hoenn,fire,ground,yes,
324,Torkoal,Qurtel,hoenn,fire,,yes,
325,Spoink,Spoink,hoenn,psychic,,yes,
326,Grumpig,Groink,hoenn,psychic,,yes,
327,Spinda,Pandir,hoenn,normal,,yes,
328,Trapinch,Knacklion,hoenn,ground,,yes,
329,Vibrava,Vibrava,hoenn,ground,dragon,yes,
330,Flygon,Libelldra,hoenn,ground,dragon,yes,
331,Cacnea,Tuska,hoenn,grass,,yes,
332,Cacturne,Noktuska,hoenn,grass,dark,yes,
333,Swablu,Wablu,hoenn,normal,flying,yes,
334,Altaria,Altaria,hoenn,dragon,flying,yes,
335,Zangoose,Sengo,hoenn,normal,,yes,
336,Seviper,Vipitis,hoenn,poison,,yes,
337,Lunatone,Lunastein,hoenn,rock,psychic,yes,
338,Solrock,Sonnfel,hoenn,rock,psychic,yes,
339,Barboach,Schmerbe,hoenn,water,ground,yes,
340,Whiscash,Welsar,hoenn,water,ground,yes,
341,Corphish,Krebscorps,hoenn,water,,yes,
342,Crawdaunt,Krebutack,hoenn,water,dark,yes,
343,Baltoy,Puppance,hoenn,ground,psychic,yes,
344,Claydol,Lepumentas,hoenn,ground,psychic,yes,
345,Lileep,Liliep,hoenn,rock,grass,yes,
346,Cradily,Wielie,hoenn,rock,grass,yes,
347,Anorith,Anorith,hoenn,rock,bug,yes,
348,Armaldo,Armaldo,hoenn,rock,bug,yes,
349,Feebas,Barschwa,hoenn,water,,yes,
350,Milotic,Milotic,hoenn,water,,yes,
351,Castform,Formeo,hoenn,normal,,yes,
352,Kecleon,Kecleon,hoenn,normal,,yes,
353,Shuppet,Shuppet,hoenn,ghost,,yes,
354,Banette,Banette,hoenn,ghost,,yes,
355,Duskull,Zwirrlicht,hoenn,ghost,,yes,
356,Dusclops,Zwirrklop,hoenn,ghost,,yes,
357,Tropius,Tropius,hoenn,grass,flying,yes,
358,Chimecho,Palimpalim,hoenn,psychic,,yes,
359,Absol,Absol,hoenn,dark,,yes,
360,Wynaut,Isso,hoenn,psychic,,yes,
361,Snorunt,Schneppke,hoenn,ice,,yes,
362,Glalie,Firnontor,hoenn,ice,,yes,
363,Spheal,Seemops,hoenn,ice,water,yes,
364,Sealeo,Seejong,hoenn,ice,water,yes,
365,Walrein,Walraisa,hoenn,ice,water,yes,
366,Clamperl,Perlu,hoenn,water,,yes,
367,Huntail,Aalabyss,hoenn,water,,yes,
368,Gorebyss,Saganabyss,hoenn,water,,yes,
369,Relicanth,Relicanth,hoenn,water,rock,yes,
370,Luvdisc,Liebiskus,hoenn,water,,yes,
371,Bagon,Kindwurm,hoenn,dragon,,yes,
372,Shelgon,Draschel,hoenn,dragon,,yes,
373,Salamence,Brutalanda,hoenn,dragon,flying,yes,
374,Beldum,Tanhel,hoenn,steel,psychic,yes,
375,Metang,Metang,hoenn,steel,psychic,yes,
376,Metagross,Metagross,hoenn,steel,psychic,yes,
377,Regirock,Regirock,hoenn,rock,,yes,
378,Regice,Regice,hoenn,ice,,yes,
379,Registeel,Registeel,hoenn,steel,,yes,
380,Latias,Latias,hoenn,dragon,psychic,yes,
381,Latios,Latios,hoenn,dragon,psychic,yes,
382,Kyogre,Kyogre,hoenn,water,,yes,
383,Groudon,Groudon,hoenn,ground,,yes,
384,Rayquaza,Rayquaza,hoenn,dragon,flying,yes,
385,Jirachi,Jirachi,hoenn,steel,psychic,yes,
386,Deoxys,Deoxys,hoenn,psychic,,yes,
387,Turtwig,Chelast,sinnoh,grass,,yes,
388,Grotle,Chelcarain,sinnoh,grass,,yes,
389,Torterra,Chelterrar,sinnoh,grass,ground,yes,
390,Chimchar,Panflam,sinnoh,fire,,yes,
391,Monferno,Panpyro,sinnoh,fire,fighting,yes,
392,Infernape,Panferno,sinnoh,fire,fighting,yes,
393,Piplup,Plinfa,sinnoh,water,,yes,
394,Prinplup,Pliprin,sinnoh,water,,yes,
395,Empoleon,Impoleon,sinnoh,water,steel,yes,
396,Starly,Staralili,sinnoh,normal,flying,yes,
397,Staravia,Staravia,sinnoh,normal,flying,yes,
398,Staraptor,Staraptor,sinnoh,normal,flying,yes,
399,Bidoof,Bidiza,sinnoh,normal,,yes,
400,Bibarel,Bidifas,sinnoh,normal,water,yes,
401,Kricketot,Zirpurze,sinnoh,bug,,yes,
402,Kricketune,Zirpeise,sinnoh,bug,,yes,
403,Shinx,Sheinux,sinnoh,electric,,yes,
404,Luxio,Luxio,sinnoh,electric,,yes,
405,Luxray,Luxtra,sinnoh,electric,,yes,
406,Budew,Knospi,sinnoh,grass,poison,yes,
407,Roserade,Roserade,sinnoh,grass,poison,yes,
408,Cranidos,Koknodon,sinnoh,rock,,yes,
409,Rampardos,Rameidon,sinnoh,rock,,yes,
410,Shieldon,Schilterus,sinnoh,rock,steel,yes,
411,Bastiodon,Bollterus,sinnoh,rock,steel,yes,
412,Burmy,Burmy,sinnoh,bug,,yes,
413,Wormadam,Burmadame,sinnoh,bug,grass,yes,
414,Mothim,Moterpel,sinnoh,bug,flying,yes,
415,Combee,Wadribie,sinnoh,bug,flying,yes,
416,Vespiquen,Honweisel,sinnoh,bug,flying,yes,
417,Pachirisu,Pachirisu,sinnoh,electric,,yes,
418,Buizel,Bamelin,sinnoh,water,,yes,
419,Floatzel,Bojelin,sinnoh,water,,yes,
420,Cherubi,Kikugi,sinnoh,grass,,yes,
421,Cherrim,Kinoso,sinnoh,grass,,yes,
422,Shellos,Schalellos,sinnoh,water,,yes,
423,Gastrodon,Gastrodon,sinnoh,water,ground,yes,
424,Ambipom,Ambidiffel,sinnoh,normal,,yes,
425,Drifloon,Driftlon,sinnoh,ghost,flying,yes,
426,Drifblim,Drifzepeli,sinnoh,ghost,flying,yes,
427,Buneary,Haspiror,sinnoh,normal,,yes,
428,Lopunny,Schlapor,sinnoh,normal,,yes,
429,Mismagius,Traunmagil,sinnoh,ghost,,yes,
430,Honchkrow,Kramshef,sinnoh,dark,flying,yes,
431,Glameow,Charmian,sinnoh,normal,,yes,
432,Purugly,Shnurgarst,sinnoh,normal,,yes,
433,Chingling,Klingplim,sinnoh,psychic,,yes,
434,Stunky,Skunkapuh,sinnoh,poison,dark,yes,
435,Skuntank,Skuntank,sinnoh,poison,dark,yes,
436,Bronzor,Bronzel,sinnoh,steel,psychic,yes,
437,Bronzong,Bronzong,sinnoh,steel,psychic,yes,
438,Bonsly,Mobai,sinnoh,rock,,yes,
439,Mime Jr.,Pantimimi,sinnoh,psychic,fairy,yes,
440,Happiny,Wonneira,sinnoh,normal,,yes,
441,Chatot,Plaudagei,sinnoh,normal,flying,yes,
442,Spiritomb,Kryppuk,sinnoh,ghost,dark,yes,
443,Gible,Kaumalat,sinnoh,dragon,ground,yes,
444,Gabite,Knarksel,sinnoh,dragon,ground,yes,
445,Garchomp,Knakrack,sinnoh,dragon,ground,yes,
446,Munchlax,Mampfaxo,sinnoh,normal,,yes,
447,Riolu,Riolu,sinnoh,fighting,,yes,
448,Lucario,Lucario,sinnoh,fighting,steel,yes,
449,Hippopotas,Hippopotas,sinnoh,ground,,yes,
450,Hippowdon,Hippoterus,sinnoh,ground,,yes,
451,Skorupi,Pionskora,sinnoh,poison,bug,yes,
452,Drapion,Piondragi,sinnoh,poison,dark,yes,
453,Croagunk,Glibunkel,sinnoh,poison,fighting,yes,
454,Toxicroak,Toxiquak,sinnoh,poison,fighting,yes,
455,Carnivine,Venuflibis,sinnoh,grass,,yes,
456,Finneon,Finneon,sinnoh,water,,yes,
457,Lumineon,Lumineon,sinnoh,water,,yes,
458,Mantyke,Mantirps,sinnoh,water,flying,yes,
459,Snover,Shnebedeck,sinnoh,grass,ice,yes,
460,Abomasnow,Rexblisar,sinnoh,grass,ice,yes,
461,Weavile,Snibunna,sinnoh,dark,ice,yes,
462,Magnezone,Magnezone,sinnoh,electric,steel,yes,
463,Lickilicky,Schlurplek,sinnoh,normal,,yes,
464,Rhyperior,Rihornior,sinnoh,ground,rock,yes,
465,Tangrowth,Tangoloss,sinnoh,grass,,yes,
466,Electivire,Elevoltek,sinnoh,electric,,yes,
467,Magmortar,Magbrant,sinnoh,fire,,yes,
468,Togekiss,Togekiss,sinnoh,fairy,flying,yes,
469,Yanmega,Yanmega,sinnoh,bug,flying,yes,
470,Leafeon,Folipurba,sinnoh,grass,,yes,
471,Glaceon,Glaziola,sinnoh,ice,,yes,
472,Gliscor,Skorgro,sinnoh,ground,flying,yes,
473,Mamoswine,Mamutel,sinnoh,ice,ground,yes,
474,Porygon-Z,Porygon-Z,sinnoh,normal,,yes,
475,Gallade,Galagladi,sinnoh,psychic,fighting,yes,
476,Probopass,Voluminas,sinnoh,rock,steel,yes,
477,Dusknoir,Zwirrfinst,sinnoh,ghost,,yes,
478,Froslass,Frosdedje,sinnoh,ice,ghost,yes,
479,Rotom,Rotom,sinnoh,electric,ghost,yes,
480,Uxie,Selfe,sinnoh,psychic,,yes,
481,Mesprit,Vesprit,sinnoh,psychic,,yes,
482,Azelf,Tobutz,sinnoh,psychic,,yes,
483,Dialga,Dialga,sinnoh,steel,dragon,yes,
484,Palkia,Palkia,sinnoh,water,dragon,yes,
485,Heatran,Heatran,sinnoh,fire,steel,yes,
486,Regigigas,Regigigas,sinnoh,normal,,yes,
487,Giratina,Giratina,sinnoh,ghost,dragon,yes,
488,Cresselia,Cresselia,sinnoh,psychic,,yes,
489,Phione,Phione,sinnoh,water,,yes,
490,Manaphy,Manaphy,sinnoh,water,,yes,
491,Darkrai,Darkrai,sinnoh,dark,,yes,
492,Shaymin,Shaymin,sinnoh,grass,,yes,
493,Arceus,Arceus,sinnoh,normal,,yes,
494,Victini,Victini,unova,psychic,fire,yes,
495,Snivy,Serpifeu,unova,grass,,yes,
496,Servine,Efoserp,unova,grass,,yes,
497,Serperior,Serpiroyal,unova,grass,,yes,
498,Tepig,Floink,unova,fire,,yes,
499,Pignite,Ferkokel,unova,fire,fighting,yes,
500,Emboar,Flambirex,unova,fire,fighting,yes,
501,Oshawott,Ottaro,unova,water,,yes,
502,Dewott,Zwottronin,unova,water,,yes,
503,Samurott,Admurai,unova,water,,yes,
504,Patrat,Nagelotz,unova,normal,,yes,
505,Watchog,Kukmarda,unova,normal,,yes,
506,Lillipup,Yorkleff,unova,normal,,yes,
507,Herdier,Terribark,unova,normal,,yes,
508,Stoutland,Bissbark,unova,normal,,yes,
509,Purrloin,Felilou,unova,dark,,yes,
510,Liepard,Kleoparda,unova,dark,,yes,
511,Pansage,Vegimak,unova,grass,,yes,
512,Simisage,Vegichita,unova,grass,,yes,
513,Pansear,Grillmak,unova,fire,,yes,
514,Simisear,Grillchita,unova,fire,,yes,
515,Panpour,Sodamak,unova,water,,yes,
516,Simipour,Sodachita,unova,water,,yes,
517,Munna,Somniam,unova,psychic,,yes,
518,Musharna,Somnivora,unova,psychic,,yes,
